Artifact Type,Program Name,File Name,Path,Date/Time,Description,URL,User,Size
TSK_INSTALLED_PROG,TrueCrypt 7.1a,,"C:\Program Files\TrueCrypt",2024-03-10 09:00:00,Disk Encryption Software,,john_doe,
TSK_INSTALLED_PROG,Eraser 6.2.0.2993,,"C:\Program Files\Eraser",2024-03-10 09:00:00,Secure File Deletion,,john_doe,
TSK_INSTALLED_PROG,7-Zip 22.01,,"C:\Program Files\7-Zip",2024-03-10 09:00:00,Archive Utility,,john_doe,
TSK_INSTALLED_PROG,TeamViewer 15,,"C:\Program Files\TeamViewer",2024-03-10 09:00:00,Remote Access Tool,,john_doe,
TSK_INSTALLED_PROG,WinSCP 5.21,,"C:\Program Files\WinSCP",2024-03-10 09:00:00,SFTP Client,,john_doe,
TSK_INSTALLED_PROG,PuTTY 0.78,,"C:\Program Files\PuTTY",2024-03-10 09:00:00,SSH Client,,john_doe,
TSK_INSTALLED_PROG,FileZilla 3.63,,"C:\Program Files\FileZilla Client",2024-03-10 09:00:00,FTP Client,,john_doe,
TSK_RECYCLE_BIN,,Q4_2024_Strategy_CONFIDENTIAL.docx,"C:\$Recycle.Bin\",2024-03-15 18:30:00,Deleted Confidential Document,,john_doe,45632
TSK_RECYCLE_BIN,,client_database_master.mdb,"C:\$Recycle.Bin\",2024-03-15 18:30:00,Deleted Client Database,,john_doe,524288
TSK_RECYCLE_BIN,,employee_salaries_2024.xlsx,"C:\$Recycle.Bin\",2024-03-15 18:30:00,Deleted Salary Spreadsheet,,john_doe,98304
TSK_RECYCLE_BIN,,product_roadmap_secret.pptx,"C:\$Recycle.Bin\",2024-03-15 18:30:00,Deleted Product Roadmap,,john_doe,204800
TSK_RECYCLE_BIN,,merger_plans_draft.docx,"C:\$Recycle.Bin\",2024-03-15 18:30:00,Deleted Merger Document,,john_doe,35840
TSK_RECYCLE_BIN,,vendor_contracts_full.pdf,"C:\$Recycle.Bin\",2024-03-15 18:30:00,Deleted Vendor Contracts,,john_doe,1048576
TSK_RECYCLE_BIN,,login_credentials_backup.txt,"C:\$Recycle.Bin\",2024-03-15 18:30:00,Deleted Password File,,john_doe,4096
TSK_RECYCLE_BIN,,source_code_backup.zip,"C:\$Recycle.Bin\",2024-03-15 18:30:00,Deleted Source Code Archive,,john_doe,10485760
TSK_RECYCLE_BIN,,hr_records_all_staff.xlsx,"C:\$Recycle.Bin\",2024-03-15 18:30:00,Deleted HR Records,,john_doe,204800
TSK_RECYCLE_BIN,,financial_projections_2025.xlsx,"C:\$Recycle.Bin\",2024-03-15 18:30:00,Deleted Financial Projections,,john_doe,131072
TSK_OS_ACCOUNT,,,C:\Users\john_doe,2024-03-15 08:50:00,"Username: john_doe | Admin: No | Last Login: 2024-03-15",,john_doe,
TSK_KEYWORD_HIT,,,Chrome History,2024-03-15 17:00:00,"Search: how to delete forensic evidence windows 10 [CRITICAL]",,john_doe,
TSK_KEYWORD_HIT,,,Chrome History,2024-03-15 18:03:00,"Search: data exfiltration undetected techniques 2024 [CRITICAL]",,john_doe,
TSK_KEYWORD_HIT,,,Chrome History,2024-03-15 19:06:00,"Search: how to wipe hard drive evidence [CRITICAL]",,john_doe,
TSK_KEYWORD_HIT,,,Chrome History,2024-03-15 20:09:00,"Search: competitor company jobs openings [HIGH]",,john_doe,
TSK_KEYWORD_HIT,,,Chrome History,2024-03-15 21:12:00,"Search: how to encrypt files windows [HIGH]",,john_doe,
TSK_KEYWORD_HIT,,,Chrome History,2024-03-15 22:15:00,"Search: secure delete recycle bin [HIGH]",,john_doe,
TSK_KEYWORD_HIT,,,Chrome History,2024-03-15 23:18:00,"Search: upload large files anonymously [MEDIUM]",,john_doe,
TSK_KEYWORD_HIT,,,Chrome History,2024-03-16 00:21:00,"Search: best vpn for privacy [MEDIUM]",,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 08:00:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 08:03:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 08:06:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 08:09:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 08:12:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 08:15:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 08:18:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 08:21:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 08:24:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 08:27:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 08:30:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 08:33:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 08:36:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 08:39:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 08:42:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 08:45:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 08:48:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 08:51:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 08:54:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 08:57:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 09:00:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 09:03:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 09:06:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 09:09:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 09:12:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 09:15:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 09:18:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 09:21:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 09:24:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 09:27:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 09:30:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 09:33:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 09:36:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 09:39:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 09:42:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 09:45:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 09:48:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 09:51:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 09:54:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 09:57:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 10:00:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 10:03:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 10:06:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 10:09:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 10:12:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 10:15:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 10:18:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 10:21:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 10:24:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 10:27:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 10:30:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 10:33:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 10:36:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 10:39:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 10:42:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 10:45:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 10:48:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 10:51:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 10:54:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 10:57:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 11:00:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 11:03:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 11:06:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 11:09:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 11:12:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 11:15:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 11:18:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 11:21:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 11:24:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 11:27:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 11:30:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 11:33:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 11:36:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 11:39:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 11:42:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 11:45:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 11:48:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 11:51:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 11:54:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 11:57:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 12:00:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 12:03:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 12:06:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 12:09:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 12:12:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 12:15:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 12:18:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 12:21:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 12:24:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 12:27:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 12:30:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 12:33:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 12:36:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 12:39:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 12:42:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 12:45:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 12:48:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 12:51:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 12:54:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 12:57:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 13:00:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 13:03:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 13:06:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 13:09:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 13:12:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 13:15:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 13:18:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 13:21:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 13:24:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 13:27:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 13:30:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 13:33:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 13:36:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 13:39:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 13:42:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 13:45:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 13:48:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 13:51:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 13:54:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 13:57:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 14:00:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 14:03:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 14:06:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 14:09:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 14:12:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 14:15:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 14:18:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 14:21:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 14:24:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 14:27:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 14:30:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 14:33:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 14:36:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 14:39:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 14:42:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 14:45:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 14:48:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 14:51:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 14:54:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 14:57:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 15:00:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 15:03:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 15:06:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 15:09:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 15:12:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 15:15:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 15:18:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 15:21:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 15:24:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 15:27:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 15:30:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 15:33:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 15:36:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 15:39:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 15:42:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 15:45:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 15:48:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 15:51:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 15:54:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 15:57:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 16:00:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 16:03:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 16:06:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 16:09:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 16:12:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 16:15:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 16:18:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 16:21:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 16:24:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 16:27:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 16:30:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 16:33:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 16:36:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 16:39:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 16:42:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 16:45:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 16:48:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 16:51:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 16:54:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 16:57:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 17:00:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 17:03:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 17:06:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 17:09:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 17:12:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 17:15:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 17:18:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 17:21:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 17:24:00,Microsoft Office Online,,john_doe,
TSK_WEB_HISTORY,,,https://www.office.com/word,2024-03-15 17:27:00,Microsoft Office Online,,john_doe,
